elapsed_sec,latency_ms,target_pressure_pct,actual_pressure_pct
64.602938,2.62275,0.0,69.971743
65.250029,2.502209,0.0,69.971643
65.897009,2.826132,0.0,69.976629
66.551001,2.915493,0.0,69.971124
67.201464,3.048005,0.0,69.971088
67.85138,2.987965,0.0,69.975904
68.505277,2.68831,0.0,69.970545
69.155524,3.391399,0.0,69.969735
69.806559,2.930944,0.0,69.972851
70.455795,3.275168,0.0,69.968202
71.107536,3.284417,0.0,69.971109
71.766075,3.083636,0.0,69.972192
72.417831,3.004114,0.0,69.974726
73.078211,3.044325,0.0,69.972129
73.733256,3.115866,0.0,69.978079
74.387441,2.63357,0.0,69.971152
75.041666,3.039475,0.0,69.976668
75.69066,3.180787,0.0,69.969653
76.34361,2.872852,0.0,69.972569
76.993784,3.401799,0.0,69.971561
77.654954,2.706712,0.0,69.974268
78.301724,2.777241,0.0,69.973786
78.953041,2.979525,0.0,69.976623
79.602667,2.829882,0.0,69.971686
80.254925,3.143356,0.0,69.9757
80.89931,3.184777,0.0,69.975621
81.542115,2.809842,0.0,69.975728
82.191763,3.412959,0.0,69.974933
82.840574,3.169697,0.0,69.975491
83.493246,2.820922,0.0,69.972523
84.137485,2.782592,0.0,69.975439
84.782052,3.094605,0.0,69.972681
85.440804,3.233307,0.0,69.974144
86.090902,2.860783,0.0,69.97357
86.75527,2.896974,0.0,69.973069
87.40472,2.543999,0.0,69.975743
88.057523,2.978494,0.0,69.977612
88.709908,3.283778,0.0,69.971495
89.359026,2.810362,0.0,69.967938
90.010228,2.812132,0.0,69.968524
90.658818,2.525129,0.0,69.966187
91.307802,3.076205,0.0,69.967662
91.958029,2.956804,0.0,69.972347
92.608852,2.896803,0.0,69.972183
93.268116,2.904874,0.0,69.9754
93.924892,2.957704,0.0,69.977664
94.577816,2.6186,0.0,69.975995
95.234104,2.297596,0.0,69.976759
95.892618,3.124796,0.0,69.97628
96.541381,2.673441,0.0,69.976729
97.184857,3.128906,0.0,69.976735
97.831163,3.044805,0.0,69.972235
98.484651,2.712151,0.0,69.971176
99.141157,2.811222,0.0,69.974462
99.794189,2.824422,0.0,69.974265
100.454213,2.817663,0.0,69.972787
101.103102,2.927943,0.0,69.974031
101.761568,2.533179,0.0,69.968657
102.411786,3.152977,0.0,69.972675
103.065718,2.991914,0.0,69.971082
103.71604,2.679871,0.0,69.970791
104.363232,2.794102,0.0,69.977233
105.01296,2.909033,0.0,69.969874
105.661654,2.845283,0.0,69.969898
106.314072,2.977694,0.0,69.969999
106.968712,2.461658,0.0,69.969701
107.621988,2.869363,0.0,69.972808
108.272797,2.378378,0.0,69.969279
108.925137,2.507028,0.0,69.973519
109.572243,2.353737,0.0,69.975048
110.222448,2.982714,0.0,69.976729
